,0
0,9934.49660577824
1,5021.370669129222
2,3898.826437317663
3,3276.4492040475
4,2259.635531444816
5,2111.137567297519
6,2606.184201016592
7,1596.933555130463
8,1050.1374865623775
9,1140.065041388383
10,13450.451145681765
11,1646.7926413446912
12,1239.882897695026
13,1684.0190573253146
14,1117.6048333289664
15,853.4036953485868
16,1573.1489844801372
17,1090.123701581299
18,733.7472224065015
19,2880.927001221646
20,929.032700932592
21,812.1745780021673
22,1102.2714244024467
23,906.9452966399821
24,529.8453585442185
25,769.0818533541302
26,881.1437595483549
27,612.3114900768177
28,574.4215147506524
29,705.4332610038441
30,515.9982330937801
31,1217.4290123197684
32,576.7398841059656
33,768.3304935328543
34,644.040534848015
35,582.3435898289638
36,514.8524494316662
37,420.62235153434233
38,629.1808724485454
